batch_size,cuda_version,decode_ms_per_tok,decode_tok_s,decode_total_ms,dtype,gpu_name,kv_cache,max_new_tokens,n_embd,n_head,n_layer,peak_alloc_bytes,peak_reserved_bytes,prefill_ms,prefill_ms_per_tok,prefix_source,prompt_len,time_unix,torch_version,vocab_size
1,12.8,9.443982442220053,105.89068378793235,1208.8297526041667,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,1129916928,1136656384,9.131786664326986,0.008917760414381823,random,1024,1766984758.5957675,2.9.1+cu128,50304
2,12.8,15.081880251566568,66.30736256284762,1930.4806722005208,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,1473709056,1600126976,16.35427188873291,0.015970968641340733,random,1024,1766984768.9973767,2.9.1+cu128,50304
4,12.8,26.132762908935547,38.266166571942996,3344.99365234375,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,2169813504,2348810240,25.53152020772298,0.024933125202854473,random,1024,1766984785.0473177,2.9.1+cu128,50304
1,12.8,3.8707985877990723,258.4335739981879,495.46221923828125,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,809522688,847249408,5.102442582448323,0.039862832675377526,random,128,1766984716.4059904,2.9.1+cu128,50304
2,12.8,4.909919897715251,203.98802873942495,628.4697469075521,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,859273216,880803840,5.226421356201172,0.040831416845321655,random,128,1766984721.7619183,2.9.1+cu128,50304
4,12.8,7.155920346577962,140.04588534666289,915.9578043619791,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,945536512,966787072,12.828746636708578,0.10022458309928577,random,128,1766984727.9373488,2.9.1+cu128,50304
1,12.8,17.09390385945638,58.50060315125146,2188.0196940104165,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,1481345536,1600126976,16.9640531539917,0.00828322907909751,random,2048,1766984796.484539,2.9.1+cu128,50304
2,12.8,29.03773562113444,34.43796866388442,3716.8301595052085,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,2176951296,2348810240,28.889301300048828,0.014106104150414467,random,2048,1766984814.104967,2.9.1+cu128,50304
4,12.8,116.75631459554036,8.565102425588847,14944.808268229166,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,3579435520,3766484992,51.62279510498047,0.025206442922353745,random,2048,1766984876.9601145,2.9.1+cu128,50304
1,12.8,6.1369398434956866,162.96428825790252,785.5282999674479,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,945617408,964689920,5.974047978719075,0.011668062458435694,random,512,1766984733.60456,2.9.1+cu128,50304
2,12.8,9.128726323445639,109.65261154307463,1168.4769694010417,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,1124774912,1136656384,8.665493647257486,0.016924792279799778,random,512,1766984741.111951,2.9.1+cu128,50304
4,12.8,14.430268923441568,69.31014965891819,1847.0744222005208,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,1471949312,1598029824,15.084757804870605,0.0294624175876379,random,512,1766984751.123859,2.9.1+cu128,50304
