batch_size,cuda_version,decode_ms_per_tok,decode_tok_s,decode_total_ms,dtype,gpu_name,kv_cache,max_new_tokens,n_embd,n_head,n_layer,peak_alloc_bytes,peak_reserved_bytes,prefill_ms,prefill_ms_per_tok,prefix_source,prompt_len,time_unix,torch_version,vocab_size
1,12.8,3.412639856338501,293.19590065447187,436.8179016113281,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,1129916928,1136656384,8.576544125874838,0.008375531372924646,random,1024,1766984908.1288764,2.9.1+cu128,50304
2,12.8,4.38264799118042,228.34417396465162,560.9789428710938,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,1473709056,1600126976,13.665151913960775,0.01334487491597732,random,1024,1766984913.0081508,2.9.1+cu128,50304
4,12.8,6.388859113057454,156.52823637060985,817.7739664713541,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,2169813504,2925527040,24.23259735107422,0.023664645850658417,random,1024,1766984918.9837193,2.9.1+cu128,50304
1,12.8,3.201727549235026,312.3429551563477,409.8211263020833,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,809522688,853540864,5.454506715138753,0.04261333371202151,random,128,1766984881.6484196,2.9.1+cu128,50304
2,12.8,3.0653658707936606,326.25025106203026,392.36683146158856,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,859273216,895483904,5.10536527633667,0.039885666221380234,random,128,1766984886.100697,2.9.1+cu128,50304
4,12.8,3.2317333221435547,309.46038734307996,413.661865234375,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,945536512,966787072,5.352383931477864,0.041815499464670815,random,128,1766984890.3374794,2.9.1+cu128,50304
1,12.8,4.81875737508138,207.52356805024144,616.8009440104166,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,1481345536,1600126976,15.113173166910807,0.007379479085405667,random,2048,1766984924.1108234,2.9.1+cu128,50304
2,12.8,6.708520571390788,149.07635657451615,858.6906331380209,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,2176951296,2925527040,27.770165761311848,0.01355965125064055,random,2048,1766984930.2534442,2.9.1+cu128,50304
4,12.8,42.97488530476888,23.635804346195105,5500.785319010417,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,3579107840,4968153088,59.718666076660156,0.029159504920244217,random,2048,1766984955.1694827,2.9.1+cu128,50304
1,12.8,2.856628100077311,350.06754075169266,365.6483968098958,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,945617408,964689920,5.636565367380778,0.011008916733165583,random,512,1766984894.4120111,2.9.1+cu128,50304
2,12.8,3.5514659881591797,283.1880766081829,454.587646484375,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,1124774912,1136656384,8.16542943318685,0.015948104361693066,random,512,1766984898.8375092,2.9.1+cu128,50304
4,12.8,4.321831862131755,231.6855600038475,553.1944783528646,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,1471949312,1598029824,12.92788283030192,0.025249771152933437,random,512,1766984903.6775556,2.9.1+cu128,50304
