batch_size,cuda_version,decode_ms_per_tok,decode_tok_s,decode_total_ms,dtype,gpu_name,kv_cache,max_new_tokens,n_embd,n_head,n_layer,peak_alloc_bytes,peak_reserved_bytes,prefill_ms,prefill_ms_per_tok,prefix_source,prompt_len,time_unix,torch_version,vocab_size
1,12.8,8.95730177561442,111.66667373543088,1146.5346272786458,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,1129916928,1136656384,8.755872090657553,0.008550656338532766,random,1024,1766979374.666548,2.9.1+cu128,50304
2,12.8,15.078757603963217,66.32335180812885,1930.0809733072917,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,1473709056,1600126976,15.895594914754232,0.01552304190893968,random,1024,1766979385.1682646,2.9.1+cu128,50304
4,12.8,27.909953435262043,35.83151112778254,3572.4740397135415,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,2169813504,2348810240,26.100575764973957,0.02548884352048238,random,1024,1766979402.1564252,2.9.1+cu128,50304
8,12.8,116.65319569905598,8.572728876967572,14931.609049479166,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,3572114944,3823108096,49.356021881103516,0.04819924011826515,random,1024,1766979464.6004262,2.9.1+cu128,50304
1,12.8,4.294451395670573,233.13422152807019,549.6897786458334,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,809522688,847249408,5.602816104888916,0.043772000819444656,random,128,1766979309.5813003,2.9.1+cu128,50304
2,12.8,4.4861907958984375,223.35804370516135,574.232421875,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,859273216,880803840,5.072458585103353,0.03962858269611994,random,128,1766979314.466937,2.9.1+cu128,50304
4,12.8,6.389802138010661,156.50064776407388,817.8946736653646,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,945536512,966787072,5.240501403808594,0.04094141721725464,random,128,1766979320.198419,2.9.1+cu128,50304
8,12.8,10.023825963338217,99.77875755477505,1283.0497233072917,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,1123830272,1140850688,8.025205453236898,0.06269691760341327,random,128,1766979327.8936896,2.9.1+cu128,50304
1,12.8,16.666147867838543,60.00422734712788,2133.2669270833335,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,1481345536,1600126976,16.676597595214844,0.008142869919538498,random,2048,1766979475.8272994,2.9.1+cu128,50304
2,12.8,30.68574396769206,32.588547197322384,3927.7752278645835,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,2176951296,2348810240,30.862186431884766,0.015069426968693733,random,2048,1766979494.417264,2.9.1+cu128,50304
4,12.8,124.34046681722005,8.05211737482489,15915.579752604166,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,3579435520,3766484992,63.05841954549154,0.03079024391869704,random,2048,1766979560.508262,2.9.1+cu128,50304
8,12.8,3205.331298828125,0.312059770686568,410282.40625,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,6380209664,7088373760,120.63259633382161,0.05890263492862383,random,2048,1766981175.701526,2.9.1+cu128,50304
1,12.8,5.902095476786296,169.48921645742155,755.4682210286459,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,945617408,964689920,5.412277380625407,0.010570854259033998,random,512,1766979333.413377,2.9.1+cu128,50304
2,12.8,8.685091018676758,115.17407834547923,1111.691650390625,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,1124774912,1136656384,8.07527462641398,0.015772020754714806,random,512,1766979340.4200141,2.9.1+cu128,50304
4,12.8,14.710155169169107,67.98087440337473,1882.8998616536458,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,1471949312,1598029824,14.601056098937988,0.02851768769323826,random,512,1766979350.5261364,2.9.1+cu128,50304
8,12.8,27.776268641153973,36.00207111970491,3555.3623860677085,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,2161579520,2315255808,24.603050231933594,0.0480528324842453,random,512,1766979367.4277036,2.9.1+cu128,50304
