batch_size,cuda_version,decode_ms_per_tok,decode_tok_s,decode_total_ms,dtype,gpu_name,kv_cache,max_new_tokens,n_embd,n_head,n_layer,peak_alloc_bytes,peak_reserved_bytes,prefill_ms,prefill_ms_per_tok,prefix_source,prompt_len,time_unix,torch_version,vocab_size
1,12.8,3.408587376276652,293.4170407754384,436.29918416341144,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,1129916928,1136656384,7.238847891489665,0.007069187394032876,random,1024,1766981218.6182973,2.9.1+cu128,50304
2,12.8,4.4056932131449384,227.2672134509486,563.9287312825521,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,1473709056,1600126976,12.108330408732096,0.011824541414777437,random,1024,1766981223.5503592,2.9.1+cu128,50304
4,12.8,6.590106964111328,151.87115873804603,843.53369140625,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,2169813504,2925527040,23.51982879638672,0.022968582808971405,random,1024,1766981229.63539,2.9.1+cu128,50304
8,12.8,28.44834327697754,36.37880243691587,3641.387939453125,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,3571787264,4968153088,512.1812477111816,0.5001769997179508,random,1024,1766981249.8651273,2.9.1+cu128,50304
1,12.8,3.3311471939086914,300.67362768686525,426.3868408203125,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,809522688,853540864,5.509941418965657,0.0430464173356692,random,128,1766981181.7783067,2.9.1+cu128,50304
2,12.8,3.1035897731781006,322.2325848452255,397.2594909667969,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,859273216,895483904,5.312010606129964,0.04150008286039034,random,128,1766981186.1610804,2.9.1+cu128,50304
4,12.8,3.164759874343872,316.02821539896627,405.0892639160156,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,945536512,966787072,5.779765446980794,0.04515441755453745,random,128,1766981190.408208,2.9.1+cu128,50304
8,12.8,3.4700504144032798,288.39142914931347,444.1664530436198,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,1123830272,1138753536,6.849066575368245,0.053508332620064415,random,128,1766981194.830219,2.9.1+cu128,50304
1,12.8,4.868539174397786,205.4034069798387,623.1730143229166,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,1481345536,1600126976,13.615392049153646,0.006648140649000804,random,2048,1766981255.2503235,2.9.1+cu128,50304
2,12.8,6.8071591059366865,146.9139390727999,871.3163655598959,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,2176951296,2925527040,26.553706487019856,0.012965676995615164,random,2048,1766981261.4193206,2.9.1+cu128,50304
4,12.8,37.20740000406901,26.888045452085706,4762.547200520833,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,3579107840,4968153088,55.90097173055013,0.027295396352807682,random,2048,1766981283.6497092,2.9.1+cu128,50304
8,12.8,277.3559163411458,3.6084569123611154,35501.557291666664,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,6380209664,9227468800,116.1977055867513,0.05673716093103091,random,2048,1766981422.227221,2.9.1+cu128,50304
1,12.8,2.896075963973999,345.44685311218154,370.6977233886719,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,945617408,964689920,4.9036478996276855,0.009577437303960323,random,512,1766981198.9494827,2.9.1+cu128,50304
2,12.8,3.365422487258911,297.2758840273963,430.7740783691406,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,1124774912,1136656384,6.993855794270833,0.01365987459818522,random,512,1766981203.3578088,2.9.1+cu128,50304
4,12.8,4.345618724822998,230.4269378140389,556.2391967773438,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,1471949312,1598029824,11.209173202514648,0.021892916411161423,random,512,1766981208.2494626,2.9.1+cu128,50304
8,12.8,6.277228991190593,159.38653196446964,803.4853108723959,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,2161579520,2891972608,21.63160514831543,0.042249228805303574,random,512,1766981214.1597967,2.9.1+cu128,50304
