batch_size,cuda_version,decode_ms_per_tok,decode_tok_s,decode_total_ms,dtype,gpu_name,kv_cache,max_new_tokens,n_embd,n_head,n_layer,peak_alloc_bytes,peak_reserved_bytes,prefill_ms,prefill_ms_per_tok,prefix_source,prompt_len,time_unix,torch_version,vocab_size
1,12.8,3.3982710043589273,294.4571074892349,434.9786885579427,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,1129916928,1136656384,7.2488640149434405,0.007078968764593204,random,1024,1766985180.0153117,2.9.1+cu128,50304
2,12.8,4.552371501922607,220.0079592458171,582.7035522460938,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,1473709056,1600126976,12.841781298319498,0.012540802049140135,random,1024,1766985184.9998748,2.9.1+cu128,50304
4,12.8,6.584786732991536,151.9357194063099,842.8527018229166,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,2169813504,2925527040,23.614208221435547,0.02306075021624565,random,1024,1766985191.1151004,2.9.1+cu128,50304
1,12.8,2.8729408582051597,348.0839822412374,367.73642985026044,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,809522688,853540864,4.7864000002543134,0.037393750001986824,random,128,1766985153.8616228,2.9.1+cu128,50304
2,12.8,3.0403830210367837,328.9322389868985,389.1690266927083,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,859273216,895483904,5.041344165802002,0.03938550129532814,random,128,1766985158.051924,2.9.1+cu128,50304
4,12.8,3.1032471656799316,322.35386326364556,397.21563720703125,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,945536512,966787072,4.820831934611003,0.03766274948914846,random,128,1766985162.2987309,2.9.1+cu128,50304
1,12.8,4.878708203633626,204.99170347566067,624.4746500651041,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,1481345536,1600126976,13.622975985209147,0.006651843742777904,random,2048,1766985196.4058836,2.9.1+cu128,50304
2,12.8,6.775247573852539,147.64133803876595,867.231689453125,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,2176951296,2925527040,26.71289571126302,0.013043406109015146,random,2048,1766985202.5734546,2.9.1+cu128,50304
4,12.8,43.057943979899086,23.632916114135515,5511.416829427083,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,3579107840,4968153088,53.96732838948568,0.026351234565178554,random,2048,1766985227.2149782,2.9.1+cu128,50304
1,12.8,2.860897938410441,349.5459008228843,366.19493611653644,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,945617408,964689920,5.0262400309244795,0.009816875060399374,random,512,1766985166.389006,2.9.1+cu128,50304
2,12.8,3.349623123804728,298.68419222957004,428.7517598470052,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,1124774912,1136656384,6.617194652557373,0.01292420830577612,random,512,1766985170.7553453,2.9.1+cu128,50304
4,12.8,4.337079048156738,230.85500070118715,555.1461181640625,float16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,1471949312,1598029824,11.27786668141683,0.022027083362142246,random,512,1766985175.612549,2.9.1+cu128,50304
