batch_size,cache_prefix,compile,cuda_version,decode_ms_per_tok,decode_tok_s,decode_total_ms,dtype,gpu_name,kv_cache,max_new_tokens,n_embd,n_head,n_kv_head,n_layer,peak_alloc_bytes,peak_reserved_bytes,phase,prefill_ms,prefill_ms_per_tok,prefix_cache_dir,prefix_seed_len,prefix_source,prompt_len,time_unix,torch_version,vocab_size
1,True,False,12.8,12.114020665486654,82.55332567655665,1550.5946451822917,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,1151281664,1157627904,both,11.836746533711752,0.011559322786827883,results/prefix_cache,1,random,1024,1767312893.3458712,2.9.1+cu128,50304
2,True,False,12.8,18.965484619140625,52.727564712099,2427.58203125,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,1528890368,1564475392,both,18.754037221272785,0.018314489473899204,results/prefix_cache,1,random,1024,1767312905.6657236,2.9.1+cu128,50304
4,True,False,12.8,32.70941162109375,30.572245062759038,4186.8046875,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,2250816000,2342518784,both,30.58470408121745,0.029867875079313915,results/prefix_cache,1,random,1024,1767312925.06836,2.9.1+cu128,50304
8,True,False,12.8,64.46295674641927,15.513146263751324,8251.258463541666,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,3731105280,3965714432,both,59.357802073160805,0.0579666035870711,results/prefix_cache,1,random,1024,1767312960.8324647,2.9.1+cu128,50304
1,True,False,12.8,4.625170389811198,216.34208950832974,592.0218098958334,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,821057024,830472192,both,5.17249075571696,0.04041008402903875,results/prefix_cache,1,random,128,1767312816.4218495,2.9.1+cu128,50304
2,True,False,12.8,5.859847068786621,170.69103927829337,750.0604248046875,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,862812160,880803840,both,5.5436374346415205,0.04330966745813688,results/prefix_cache,1,random,128,1767312821.9366462,2.9.1+cu128,50304
4,True,False,12.8,8.478313763936361,117.95586764156444,1085.2241617838542,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,956153344,991952896,both,7.674752076466878,0.059959000597397484,results/prefix_cache,1,random,128,1767312828.8986719,2.9.1+cu128,50304
8,True,False,12.8,13.534222920735678,73.88766982545596,1732.3805338541667,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,1145195008,1161822208,both,10.842037518819174,0.0847034181157748,results/prefix_cache,1,random,128,1767312838.3669412,2.9.1+cu128,50304
1,True,False,12.8,21.53569730122884,46.435086121532755,2756.5692545572915,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,1534298624,1564475392,both,21.44365882873535,0.010470536537468433,results/prefix_cache,1,random,2048,1767312974.636447,2.9.1+cu128,50304
2,True,False,12.8,35.794288635253906,27.937464398659802,4581.6689453125,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,2255856640,2346713088,both,35.078015645345054,0.01712793732682864,results/prefix_cache,1,random,2048,1767312995.839951,2.9.1+cu128,50304
4,True,False,12.8,69.40643056233723,14.407902217216957,8884.023111979166,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,3736721920,3917479936,both,67.22842661539714,0.032826380183299385,results/prefix_cache,1,random,2048,1767313034.1787162,2.9.1+cu128,50304
8,True,False,12.8,133.75424194335938,7.476404181377852,17120.54296875,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,6687966720,7381975040,both,130.03066762288412,0.06349153692523639,results/prefix_cache,1,random,2048,1767313105.888647,2.9.1+cu128,50304
1,True,False,12.8,7.443835576375325,134.3609889987487,952.8109537760416,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,957938176,989855744,both,8.13642660776774,0.015891458218296368,results/prefix_cache,1,random,512,1767312844.6889741,2.9.1+cu128,50304
2,True,False,12.8,11.810733795166016,84.67598370926201,1511.77392578125,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,1146139648,1157627904,both,11.076213200887045,0.02163322890798251,results/prefix_cache,1,random,512,1767312853.3087885,2.9.1+cu128,50304
4,True,False,12.8,18.220430374145508,54.88387366338036,2332.215087890625,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,1527261696,1562378240,both,17.809642791748047,0.034784458577632904,results/prefix_cache,1,random,512,1767312865.2529068,2.9.1+cu128,50304
8,True,False,12.8,32.41846593221029,30.846668514983605,4149.563639322917,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,2245989888,2334130176,both,28.766260782877605,0.05618410309155782,results/prefix_cache,1,random,512,1767312884.5441978,2.9.1+cu128,50304
