batch_size,cache_prefix,compile,cuda_version,decode_ms_per_tok,decode_tok_s,decode_total_ms,dtype,gpu_name,kv_cache,max_new_tokens,n_embd,n_head,n_kv_head,n_layer,peak_alloc_bytes,peak_reserved_bytes,phase,prefill_ms,prefill_ms_per_tok,prefix_cache_dir,prefix_seed_len,prefix_source,prompt_len,time_unix,torch_version,vocab_size
1,True,False,12.8,3.6649924914042153,272.88337109536593,469.11903889973956,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,1151281664,1157627904,both,10.909120241800943,0.010653437736133734,results/prefix_cache,1,random,1024,1767313148.4389768,2.9.1+cu128,50304
2,True,False,12.8,4.616090774536133,216.8966269121463,590.859619140625,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,1528890368,1564475392,both,17.606229782104492,0.017193583771586418,results/prefix_cache,1,random,1024,1767313153.3739786,2.9.1+cu128,50304
4,True,False,12.8,7.226079940795898,138.42347395217922,924.938232421875,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,2250816000,2392850432,both,32.55678939819336,0.0317937396466732,results/prefix_cache,1,random,1024,1767313159.8872085,2.9.1+cu128,50304
8,True,False,12.8,11.658229192097982,85.78471670177818,1492.2533365885417,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,3731105280,4995416064,both,57.14599482218424,0.0558066355685393,results/prefix_cache,1,random,1024,1767313168.7382317,2.9.1+cu128,50304
1,True,False,12.8,2.984941244125366,335.03314510729905,382.0724792480469,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,821057024,832569344,both,5.2232747077941895,0.040806833654642105,results/prefix_cache,1,random,128,1767313110.4004602,2.9.1+cu128,50304
2,True,False,12.8,3.5808873176574707,279.54280386336706,458.35357666015625,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,862812160,880803840,both,7.1028374036153155,0.05549091721574465,results/prefix_cache,1,random,128,1767313114.9420848,2.9.1+cu128,50304
4,True,False,12.8,3.4146272341410318,293.0024114070415,437.07228597005206,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,956153344,991952896,both,7.913472016652425,0.06182400013009707,results/prefix_cache,1,random,128,1767313119.336212,2.9.1+cu128,50304
8,True,False,12.8,4.075666983922322,245.7730211884981,521.6853739420573,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,1145195008,1159725056,both,11.638335863749186,0.09092449893554051,results/prefix_cache,1,random,128,1767313124.0399776,2.9.1+cu128,50304
1,True,False,12.8,5.390474796295166,185.51243352619977,689.9807739257812,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,1534298624,1564475392,both,18.651498794555664,0.009107177145779133,results/prefix_cache,1,random,2048,1767313174.1791563,2.9.1+cu128,50304
2,True,False,12.8,7.441221396128337,134.39082281034305,952.4763387044271,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,2255856640,2397044736,both,35.444437662760414,0.017306854327519734,results/prefix_cache,1,random,2048,1767313180.7728941,2.9.1+cu128,50304
4,True,False,12.8,12.602384567260742,79.35199791000375,1613.105224609375,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,3736721920,4475322368,both,66.97287623087566,0.032701599722107254,results/prefix_cache,1,random,2048,1767313190.492678,2.9.1+cu128,50304
8,True,False,12.8,21.41808573404948,46.68998158294817,2741.5149739583335,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,6687966720,9135194112,both,132.41219075520834,0.06465439001719157,results/prefix_cache,1,random,2048,1767313204.9438028,2.9.1+cu128,50304
1,True,False,12.8,3.062732140223185,326.523807425371,392.0297139485677,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,957938176,989855744,both,7.413343906402588,0.014479187317192554,results/prefix_cache,1,random,512,1767313128.277661,2.9.1+cu128,50304
2,True,False,12.8,3.513620138168335,284.7689670762168,449.7433776855469,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,1146139648,1157627904,both,10.941781361897787,0.021370666722456615,results/prefix_cache,1,random,512,1767313132.7168388,2.9.1+cu128,50304
4,True,False,12.8,4.61236588160197,217.0837914291799,590.3828328450521,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,1527261696,1562378240,both,17.05843162536621,0.03331724926829338,results/prefix_cache,1,random,512,1767313137.7112,2.9.1+cu128,50304
8,True,False,12.8,6.916985034942627,144.5807309477287,885.3740844726562,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,2245989888,2384461824,both,31.010154724121094,0.06056670844554901,results/prefix_cache,1,random,512,1767313143.940554,2.9.1+cu128,50304
