batch_size,cache_prefix,compile,cuda_version,decode_ms_per_tok,decode_tok_s,decode_total_ms,dtype,gpu_name,kv_cache,max_new_tokens,n_embd,n_head,n_kv_head,n_layer,peak_alloc_bytes,peak_reserved_bytes,phase,prefill_ms,prefill_ms_per_tok,prefix_cache_dir,prefix_seed_len,prefix_source,prompt_len,time_unix,torch_version,vocab_size
1,True,False,12.8,12.20430056254069,81.9825196374161,1562.1504720052083,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,1150626304,1231028224,both,12.366517384847006,0.012076677133639654,results/prefix_cache/mha_rope,1,model,1024,1767383257.123472,2.9.1+cu128,50304
2,True,False,12.8,18.77423095703125,53.26631290320267,2403.1015625,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,1529676800,1614807040,both,18.68398920694987,0.018246083209911983,results/prefix_cache/mha_rope,1,model,1024,1767383273.479968,2.9.1+cu128,50304
4,True,False,12.8,32.43636957804362,30.831269356445585,4151.855305989583,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,2248194560,2405433344,both,30.536917368570965,0.029821208367745083,results/prefix_cache/mha_rope,1,model,1024,1767383296.8658519,2.9.1+cu128,50304
8,True,False,12.8,63.40957895914713,15.770557011306238,8116.426106770833,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,3730449920,4034920448,both,59.85991541544596,0.058456948647896446,results/prefix_cache/mha_rope,1,model,1024,1767383336.7897675,2.9.1+cu128,50304
1,True,False,12.8,4.657198905944824,214.7523405203982,596.1214599609375,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,821057024,830472192,both,5.387519995371501,0.04208999996383985,results/prefix_cache/mha_rope,1,model,128,1767383167.223887,2.9.1+cu128,50304
2,True,False,12.8,5.7761772473653155,173.12565160849343,739.3506876627604,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,862287872,916455424,both,5.550048033396403,0.0433597502609094,results/prefix_cache/mha_rope,1,model,128,1767383173.152036,2.9.1+cu128,50304
4,True,False,12.8,8.48531405131022,117.8713895206469,1086.1201985677083,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,954711552,985661440,both,7.747317314147949,0.06052591651678085,results/prefix_cache/mha_rope,1,model,128,1767383180.6317012,2.9.1+cu128,50304
8,True,False,12.8,13.566455841064453,73.71197466958643,1736.50634765625,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,1144146432,1205862400,both,10.997365315755209,0.08591691652933757,results/prefix_cache/mha_rope,1,model,128,1767383190.8012352,2.9.1+cu128,50304
1,True,False,12.8,21.19900131225586,47.17439217128003,2713.47216796875,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,1536920064,1625292800,both,21.330474853515625,0.010415270924568176,results/prefix_cache/mha_rope,1,model,2048,1767383358.3449342,2.9.1+cu128,50304
2,True,False,12.8,35.115760803222656,28.47725294886435,4494.8173828125,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,2254545920,2415919104,both,33.859232584635414,0.01653282841046651,results/prefix_cache/mha_rope,1,model,2048,1767383386.8660593,2.9.1+cu128,50304
4,True,False,12.8,68.33218892415364,14.634396663604631,8746.520182291666,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,3735935488,4043309056,both,65.80228424072266,0.03213002160191536,results/prefix_cache/mha_rope,1,model,2048,1767383434.0462244,2.9.1+cu128,50304
8,True,False,12.8,130.07508850097656,7.68786815123041,16649.611328125,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,6691112448,11022630912,both,125.24777475992839,0.061156140019496284,results/prefix_cache/mha_rope,1,model,2048,1767383516.8536398,2.9.1+cu128,50304
1,True,False,12.8,7.518674532572429,133.00670005361383,962.3903401692709,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,956365312,983564288,both,8.148191928863525,0.015914437361061573,results/prefix_cache/mha_rope,1,model,512,1767383199.144786,2.9.1+cu128,50304
2,True,False,12.8,11.637188275655111,85.9408308553674,1489.5600992838542,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,1145484288,1207959552,both,11.023029327392578,0.02152935415506363,results/prefix_cache/mha_rope,1,model,512,1767383209.5767636,2.9.1+cu128,50304
4,True,False,12.8,18.026069005330402,55.475216277713656,2307.3368326822915,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,1524902400,1604321280,both,18.050230026245117,0.035254355520009995,results/prefix_cache/mha_rope,1,model,512,1767383223.3781848,2.9.1+cu128,50304
8,True,False,12.8,32.19968795776367,31.056305320488473,4121.56005859375,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,False,128,768,12,12,12,2243892736,2405433344,both,28.857995351155598,0.05636327217022578,results/prefix_cache/mha_rope,1,model,512,1767383244.5334182,2.9.1+cu128,50304
