batch_size,cache_prefix,compile,cuda_version,decode_ms_per_tok,decode_tok_s,decode_total_ms,dtype,gpu_name,kv_cache,max_new_tokens,n_embd,n_head,n_kv_head,n_layer,peak_alloc_bytes,peak_reserved_bytes,phase,prefill_ms,prefill_ms_per_tok,prefix_cache_dir,prefix_seed_len,prefix_source,prompt_len,time_unix,torch_version,vocab_size
1,True,False,12.8,3.7499773502349854,266.6979014022932,479.9971008300781,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,1151281664,1157627904,both,11.037834803263346,0.010779135550061861,results/prefix_cache/mha_rope,1,model,1024,1767383558.601631,2.9.1+cu128,50304
2,True,False,12.8,4.601918697357178,217.31748440712616,589.0455932617188,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,1528890368,1564475392,both,17.345876693725586,0.016939332708716393,results/prefix_cache/mha_rope,1,model,1024,1767383563.5943456,2.9.1+cu128,50304
4,True,False,12.8,7.057197570800781,141.7002249866712,903.3212890625,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,2250816000,2392850432,both,30.783413569132488,0.030061927313605945,results/prefix_cache/mha_rope,1,model,1024,1767383569.935803,2.9.1+cu128,50304
8,True,False,12.8,11.517262776692709,86.82809401794799,1474.2096354166667,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,3731105280,4995416064,both,56.156959533691406,0.054840780794620514,results/prefix_cache/mha_rope,1,model,1024,1767383578.5978467,2.9.1+cu128,50304
1,True,False,12.8,2.963924249013265,337.4311340634434,379.38230387369794,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,821057024,832569344,both,7.346378803253174,0.05739358440041542,results/prefix_cache/mha_rope,1,model,128,1767383521.3643608,2.9.1+cu128,50304
2,True,False,12.8,3.2364699840545654,309.0123039352102,414.2681579589844,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,862812160,880803840,both,5.490079879760742,0.0428912490606308,results/prefix_cache/mha_rope,1,model,128,1767383525.5764756,2.9.1+cu128,50304
4,True,False,12.8,3.2690138816833496,305.9835698385205,418.43377685546875,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,956153344,991952896,both,7.234250545501709,0.0565175823867321,results/prefix_cache/mha_rope,1,model,128,1767383529.8091838,2.9.1+cu128,50304
8,True,False,12.8,3.730781157811483,268.2761758185396,477.5399881998698,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,1145195008,1159725056,both,10.360202471415201,0.08093908180793126,results/prefix_cache/mha_rope,1,model,128,1767383534.3196692,2.9.1+cu128,50304
1,True,False,12.8,5.496512095133464,181.93444191074846,703.5535481770834,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,1534298624,1564475392,both,18.64753023783366,0.009105239373942217,results/prefix_cache/mha_rope,1,model,2048,1767383584.1341445,2.9.1+cu128,50304
2,True,False,12.8,7.334606170654297,136.3408759441156,938.82958984375,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,2255856640,2397044736,both,32.141867319742836,0.01569427115221818,results/prefix_cache/mha_rope,1,model,2048,1767383590.6121652,2.9.1+cu128,50304
4,True,False,12.8,12.284416516621908,81.40763022159994,1572.4053141276042,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,3736721920,4475322368,both,63.118536631266274,0.030819597964485485,results/prefix_cache/mha_rope,1,model,2048,1767383599.775059,2.9.1+cu128,50304
8,True,False,12.8,20.976233800252277,47.67329902042288,2684.9579264322915,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,6687966720,9135194112,both,126.8701883951823,0.061948334177335106,results/prefix_cache/mha_rope,1,model,2048,1767383613.5400248,2.9.1+cu128,50304
1,True,False,12.8,3.010319391886393,332.2018576100639,385.3208821614583,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,957938176,989855744,both,7.301994641621907,0.014261708284417788,results/prefix_cache/mha_rope,1,model,512,1767383538.4114087,2.9.1+cu128,50304
2,True,False,12.8,3.507640520731608,285.12025681950917,448.9779866536458,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,1146139648,1157627904,both,10.300309499104818,0.020117791990439098,results/prefix_cache/mha_rope,1,model,512,1767383542.8182464,2.9.1+cu128,50304
4,True,False,12.8,4.7287666002909345,211.61853195824588,605.2821248372396,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,1527261696,1562378240,both,16.80009587605794,0.03281268725792567,results/prefix_cache/mha_rope,1,model,512,1767383547.8366258,2.9.1+cu128,50304
8,True,False,12.8,6.841558456420898,146.1694096780645,875.719482421875,bfloat16,NVIDIA GeForce RTX 5070 Ti Laptop GPU,True,128,768,12,12,12,2245989888,2384461824,both,29.693514506022137,0.057995145519574486,results/prefix_cache/mha_rope,1,model,512,1767383554.0280123,2.9.1+cu128,50304
